Round,Team_1,Score_1,Score_2,Team_2,Agg,Winner,Venue
Round of 16,PSG,2,3,Real Sociedad,5-4,PSG,
Round of 16,Copenhagen,1,3,Manchester City,2-6,Manchester City,
Round of 16,Inter Milan,1,0,Atletico Madrid,2-1,Inter Milan,
Round of 16,Arsenal,2,0,Porto,2-1,Arsenal,
Round of 16,Napoli,0,3,Barcelona,1-4,Barcelona,
Round of 16,Bayern Munich,3,2,Lazio,3-2,Bayern Munich,
Round of 16,Real Madrid,6,1,RB Leipzig,6-1,Real Madrid,
Round of 16,PSV Eindhoven,1,2,Borussia Dortmund,3-4,Borussia Dortmund,
Quarterfinals,Arsenal,0,1,Bayern Munich,2-3,Bayern Munich,
Quarterfinals,Manchester City,1,0,Real Madrid,3-4,Real Madrid,
Quarterfinals,Barcelona,3,2,PSG,6-4,Barcelona,
Quarterfinals,Atletico Madrid,0,2,Borussia Dortmund,1-2,Borussia Dortmund,
Semifinals,Real Madrid,3,3,Bayern Munich,4-3,Real Madrid,
Semifinals,PSG,0,1,Borussia Dortmund,0-2,Borussia Dortmund,
Final,Real Madrid,2,0,Borussia Dortmund,2-0,Real Madrid,"Wembley Stadium, London"
