No,Team,Season
1,AC Milan,2023-24
2,Ajax,2023-24
3,Arsenal,2023-24
4,Atlético Madrid,2023-24
5,Bayern Munich,2023-24
6,Benfica,2023-24
7,Borussia Dortmund,2023-24
8,Celtic,2023-24
9,Dinamo Zagreb,2023-24
10,FC Barcelona,2023-24
11,FC Copenhagen,2023-24
12,FC Salzburg,2023-24
13,Feyenoord,2023-24
14,Galatasaray,2023-24
15,Inter Milan,2023-24
16,Lazio,2023-24
17,Lens,2023-24
18,Manchester City,2023-24
19,Manchester United,2023-24
20,Napoli,2023-24
21,Newcastle United,2023-24
22,PSG,2023-24
23,PSV Eindhoven,2023-24
24,Porto,2023-24
25,Real Madrid,2023-24
26,Real Sociedad,2023-24
27,Royal Antwerp,2023-24
28,Sevilla,2023-24
29,Shakhtar Donetsk,2023-24
30,Sporting CP,2023-24
31,Union Berlin,2023-24
32,Young Boys,2023-24
